date,testPositivityRatio,caseDensity,contactTracerCapacityRatio,infectionRate,infectionRateCI90,icuCapacityRatio,vaccinationsInitiatedRatio,vaccinationsCompletedRatio,cases,deaths,positiveTests,negativeTests,contactTracers,hospitalBeds capacity,hospitalBeds currentUsageTotal,hospitalBeds currentUsageCovid,icuBeds capacity,icuBeds currentUsageTotal,icuBeds currentUsageCovid,newCases,newDeaths,vaccinesAdministeredDemographics,vaccinationsInitiatedDemographics,vaccinesDistributed,vaccinationsInitiated,vaccinationsCompleted,vaccinesAdministered,overall,cdcTransmissionLevel
2020-03-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-14,0.0,0.0,0.0,1.19,1.02,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-15,0.0,0.0,0.0,1.21,0.81,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-16,0.0,0.0,0.0,1.22,0.77,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-17,0.0,0.0,0.0,1.24,0.75,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-18,0.0,0.0,0.0,1.25,0.73,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-19,0.0,0.0,0.0,1.27,0.73,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-20,0.0,0.0,0.0,1.28,0.7,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-21,0.0,0.0,0.0,1.29,0.68,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-22,0.0,0.0,0.0,1.3,0.66,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-23,0.0,0.0,0.0,1.31,0.66,0.0,0.0,0.0,26.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,0.0,0.0,0.0,1.31,0.64,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,0.0,0.0,0.0,1.31,0.62,0.0,0.0,0.0,37.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,0.049,0.0,0.0,1.31,0.59,0.0,0.0,0.0,49.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2020-03-27,0.051,0.0,0.0,1.3,0.57,0.0,0.0,0.0,56.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2020-03-28,0.05,1.0,0.0,1.29,0.54,0.0,0.0,0.0,74.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-03-29,0.051,1.0,0.0,1.27,0.51,0.0,0.0,0.0,85.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-03-30,0.051,1.0,0.0,1.25,0.49,0.0,0.0,0.0,88.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-03-31,0.051,1.0,0.0,1.22,0.46,0.0,0.0,0.0,96.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-01,0.051,1.0,0.0,1.19,0.45,0.0,0.0,0.0,121.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-02,0.051,1.0,0.0,1.16,0.43,0.0,0.0,0.0,138.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-03,0.051,1.0,0.0,1.13,0.42,0.0,0.0,0.0,154.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-04,0.051,1.0,0.0,1.1,0.42,0.0,0.0,0.0,167.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-05,0.051,1.0,0.0,1.06,0.4,0.0,0.0,0.0,189.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-06,0.051,1.0,0.0,1.03,0.4,0.0,0.0,0.0,200.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-07,0.051,1.0,0.0,1.0,0.4,0.0,0.0,0.0,213.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-08,0.051,1.0,0.0,0.97,0.4,0.0,0.0,0.0,221.0,0.0,234.0,4328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-09,0.046,1.0,0.0,0.94,0.4,0.0,0.0,0.0,230.0,0.0,243.0,4733.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-10,0.044,1.0,0.0,0.91,0.4,0.0,0.0,0.0,303.0,0.0,252.0,4979.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0
2020-04-11,0.041,1.0,0.0,0.89,0.39,0.0,0.0,0.0,320.0,0.0,277.0,5655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-04-12,0.038,1.0,0.0,0.88,0.39,0.0,0.0,0.0,343.0,0.0,277.0,5655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-04-13,0.036,1.0,0.0,0.86,0.4,0.0,0.0,0.0,364.0,0.0,277.0,5655.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-04-14,0.032,1.0,0.0,0.85,0.4,0.0,0.0,0.0,373.0,1.0,282.0,5996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-04-15,0.028,1.0,0.0,0.85,0.4,0.0,0.0,0.0,373.0,1.0,282.0,5996.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-04-16,0.031,1.0,0.0,0.85,0.41,0.0,0.0,0.0,392.0,2.0,284.0,6009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-04-17,0.031,1.0,0.0,0.85,0.41,0.0,0.0,0.0,393.0,2.0,284.0,6009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-04-18,0.03,1.0,0.0,0.85,0.43,0.0,0.0,0.0,401.0,2.0,301.0,6419.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-04-19,0.038,1.0,0.0,0.86,0.44,0.0,0.0,0.0,412.0,2.0,309.0,6543.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-04-20,0.038,1.0,0.0,0.87,0.45,0.0,0.0,0.0,422.0,2.0,317.0,6829.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020-04-21,0.034,1.0,0.0,0.88,0.44,0.0,0.0,0.0,426.0,2.0,318.0,7008.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,2.03125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
2020-04-22,0.036,1.0,0.0,0.89,0.45,0.0,0.0,0.0,442.0,6.0,332.0,7310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-04-23,0.034,1.0,0.0,0.9,0.46,0.0,0.0,0.0,447.0,6.0,332.0,7310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-04-24,0.033,1.0,0.0,0.91,0.47,0.0,0.0,0.0,453.0,7.0,340.0,7631.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-04-25,0.031,1.0,0.0,0.92,0.46,0.0,0.0,0.0,473.0,7.0,341.0,7676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-04-26,0.036,1.0,0.0,0.92,0.45,0.0,0.0,0.0,477.0,7.0,341.0,7676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-04-27,0.045,1.0,0.0,0.92,0.45,0.0,0.0,0.0,502.0,7.0,341.0,7676.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-04-28,0.055,1.0,0.0,0.93,0.45,0.0,0.0,0.0,520.0,7.0,398.0,8376.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,0.0625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-04-29,0.053,1.0,0.0,0.93,0.44,0.0,0.0,0.0,536.0,7.0,402.0,8554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.03125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-04-30,0.052,1.0,0.0,0.92,0.43,0.0,0.0,0.0,544.0,7.0,402.0,8554.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.015625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-05-01,0.052,1.0,0.0,0.92,0.42,0.0,0.0,0.0,559.0,7.0,419.0,9074.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0078125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-05-02,0.044,1.0,0.0,0.92,0.41,0.0,0.0,0.0,566.0,7.0,427.0,9525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.00390625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-05-03,0.037,1.0,0.0,0.91,0.41,0.0,0.0,0.0,579.0,7.0,427.0,9525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,0.001953125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-05-04,0.031,1.0,0.0,0.91,0.41,0.0,0.0,0.0,586.0,7.0,427.0,9525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0009765625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-05-05,0.026,1.0,0.0,0.9,0.41,0.0,0.0,0.0,596.0,7.0,427.0,9525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.00048828125,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
2020-05-06,0.027,1.0,0.0,0.9,0.41,0.0,0.0,0.0,604.0,7.0,427.0,9525.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.000244140625,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0
