date,vaccinationsCompleted,newIncreaseDoes
2020-03-04,0,0
2020-03-05,0,0
2020-03-06,0,0
2020-03-07,0,0
2020-03-08,0,0
2020-03-09,0,0
2020-03-10,0,0
2020-03-11,0,0
2020-03-12,0,0
2020-03-13,0,0
2020-03-14,0,0
2020-03-15,0,0
2020-03-16,0,0
2020-03-17,0,0
2020-03-18,0,0
2020-03-19,0,0
2020-03-20,0,0
2020-03-21,0,0
2020-03-22,0,0
2020-03-23,0,0
2020-03-24,0,0
2020-03-25,0,0
2020-03-26,0,0
2020-03-27,0,0
2020-03-28,0,0
2020-03-29,0,0
2020-03-30,0,0
2020-03-31,0,0
2020-04-01,0,0
2020-04-02,0,0
2020-04-03,0,0
2020-04-04,0,0
2020-04-05,0,0
2020-04-06,0,0
2020-04-07,0,0
2020-04-08,0,0
2020-04-09,0,0
2020-04-10,0,0
2020-04-11,0,0
2020-04-12,0,0
2020-04-13,0,0
2020-04-14,0,0
2020-04-15,0,0
2020-04-16,0,0
2020-04-17,0,0
2020-04-18,0,0
2020-04-19,0,0
2020-04-20,0,0
2020-04-21,0,0
2020-04-22,0,0
2020-04-23,0,0
2020-04-24,0,0
2020-04-25,0,0
2020-04-26,0,0
2020-04-27,0,0
2020-04-28,0,0
2020-04-29,0,0
2020-04-30,0,0
2020-05-01,0,0
2020-05-02,0,0
2020-05-03,0,0
2020-05-04,0,0
2020-05-05,0,0
2020-05-06,0,0
2020-05-07,0,0
2020-05-08,0,0
2020-05-09,0,0
2020-05-10,0,0
2020-05-11,0,0
2020-05-12,0,0
2020-05-13,0,0
2020-05-14,0,0
2020-05-15,0,0
2020-05-16,0,0
2020-05-17,0,0
2020-05-18,0,0
2020-05-19,0,0
2020-05-20,0,0
2020-05-21,0,0
2020-05-22,0,0
2020-05-23,0,0
2020-05-24,0,0
2020-05-25,0,0
2020-05-26,0,0
2020-05-27,0,0
2020-05-28,0,0
2020-05-29,0,0
2020-05-30,0,0
2020-05-31,0,0
2020-06-01,0,0
2020-06-02,0,0
2020-06-03,0,0
2020-06-04,0,0
2020-06-05,0,0
2020-06-06,0,0
2020-06-07,0,0
2020-06-08,0,0
2020-06-09,0,0
2020-06-10,0,0
2020-06-11,0,0
2020-06-12,0,0
2020-06-13,0,0
2020-06-14,0,0
2020-06-15,0,0
2020-06-16,0,0
2020-06-17,0,0
2020-06-18,0,0
2020-06-19,0,0
2020-06-20,0,0
2020-06-21,0,0
2020-06-22,0,0
2020-06-23,0,0
2020-06-24,0,0
2020-06-25,0,0
2020-06-26,0,0
2020-06-27,0,0
2020-06-28,0,0
2020-06-29,0,0
2020-06-30,0,0
2020-07-01,0,0
2020-07-02,0,0
2020-07-03,0,0
2020-07-04,0,0
2020-07-05,0,0
2020-07-06,0,0
2020-07-07,0,0
2020-07-08,0,0
2020-07-09,0,0
2020-07-10,0,0
2020-07-11,0,0
2020-07-12,0,0
2020-07-13,0,0
2020-07-14,0,0
2020-07-15,0,0
2020-07-16,0,0
2020-07-17,0,0
2020-07-18,0,0
2020-07-19,0,0
2020-07-20,0,0
2020-07-21,0,0
2020-07-22,0,0
2020-07-23,0,0
2020-07-24,0,0
2020-07-25,0,0
2020-07-26,0,0
2020-07-27,0,0
2020-07-28,0,0
2020-07-29,0,0
2020-07-30,0,0
2020-07-31,0,0
2020-08-01,0,0
2020-08-02,0,0
2020-08-03,0,0
2020-08-04,0,0
2020-08-05,0,0
2020-08-06,0,0
2020-08-07,0,0
2020-08-08,0,0
2020-08-09,0,0
2020-08-10,0,0
2020-08-11,0,0
2020-08-12,0,0
2020-08-13,0,0
2020-08-14,0,0
2020-08-15,0,0
2020-08-16,0,0
2020-08-17,0,0
2020-08-18,0,0
2020-08-19,0,0
2020-08-20,0,0
2020-08-21,0,0
2020-08-22,0,0
2020-08-23,0,0
2020-08-24,0,0
2020-08-25,0,0
2020-08-26,0,0
2020-08-27,0,0
2020-08-28,0,0
2020-08-29,0,0
2020-08-30,0,0
2020-08-31,0,0
2020-09-01,0,0
2020-09-02,0,0
2020-09-03,0,0
2020-09-04,0,0
2020-09-05,0,0
2020-09-06,0,0
2020-09-07,0,0
2020-09-08,0,0
2020-09-09,0,0
2020-09-10,0,0
2020-09-11,0,0
2020-09-12,0,0
2020-09-13,0,0
2020-09-14,0,0
2020-09-15,0,0
2020-09-16,0,0
2020-09-17,0,0
2020-09-18,0,0
2020-09-19,0,0
2020-09-20,0,0
2020-09-21,0,0
2020-09-22,0,0
2020-09-23,0,0
2020-09-24,0,0
2020-09-25,0,0
2020-09-26,0,0
2020-09-27,0,0
2020-09-28,0,0
2020-09-29,0,0
2020-09-30,0,0
2020-10-01,0,0
2020-10-02,0,0
2020-10-03,0,0
2020-10-04,0,0
2020-10-05,0,0
2020-10-06,0,0
2020-10-07,0,0
2020-10-08,0,0
2020-10-09,0,0
2020-10-10,0,0
2020-10-11,0,0
2020-10-12,0,0
2020-10-13,0,0
2020-10-14,0,0
2020-10-15,0,0
2020-10-16,0,0
2020-10-17,0,0
2020-10-18,0,0
2020-10-19,0,0
2020-10-20,0,0
2020-10-21,0,0
2020-10-22,0,0
2020-10-23,0,0
2020-10-24,0,0
2020-10-25,0,0
2020-10-26,0,0
2020-10-27,0,0
2020-10-28,0,0
2020-10-29,0,0
2020-10-30,0,0
2020-10-31,0,0
2020-11-01,0,0
2020-11-02,0,0
2020-11-03,0,0
2020-11-04,0,0
2020-11-05,0,0
2020-11-06,0,0
2020-11-07,0,0
2020-11-08,0,0
2020-11-09,0,0
2020-11-10,0,0
2020-11-11,0,0
2020-11-12,0,0
2020-11-13,0,0
2020-11-14,0,0
2020-11-15,0,0
2020-11-16,0,0
2020-11-17,0,0
2020-11-18,0,0
2020-11-19,0,0
2020-11-20,0,0
2020-11-21,0,0
2020-11-22,0,0
2020-11-23,0,0
2020-11-24,0,0
2020-11-25,0,0
2020-11-26,0,0
2020-11-27,0,0
2020-11-28,0,0
2020-11-29,0,0
2020-11-30,0,0
2020-12-01,0,0
2020-12-02,0,0
2020-12-03,0,0
2020-12-04,0,0
2020-12-05,0,0
2020-12-06,0,0
2020-12-07,0,0
2020-12-08,0,0
2020-12-09,0,0
2020-12-10,0,0
2020-12-11,0,0
2020-12-12,0,0
2020-12-13,0,0
2020-12-14,0,0
2020-12-15,0,0
2020-12-16,0,0
2020-12-17,0,0
2020-12-18,0,0
2020-12-19,0,0
2020-12-20,0,0
2020-12-21,0,0
2020-12-22,0,0
2020-12-23,0,0
2020-12-24,0,0
2020-12-25,0,0
2020-12-26,0,0
2020-12-27,0,0
2020-12-28,0,0
2020-12-29,0,0
2020-12-30,0,0
2020-12-31,0,0
2021-01-01,0,0
2021-01-02,0,0
2021-01-03,0,0
2021-01-04,0,0
2021-01-05,0,0
2021-01-06,0,0
2021-01-07,0,0
2021-01-08,0,0
2021-01-09,0,0
2021-01-10,0,0
2021-01-11,0,0
2021-01-12,0,0
2021-01-13,0,0
2021-01-14,0,0
2021-01-15,1257356,1257356
2021-01-16,1514123,256767
2021-01-17,757052,757071
2021-01-18,378516,378536
2021-01-19,1143267,764751
2021-01-20,1908043,764776
2021-01-21,2039685,131642
2021-01-22,2242716,203031
2021-01-23,2574882,332166
2021-01-24,2823578,248696
2021-01-25,2998176,174598
2021-01-26,3122970,124794
2021-01-27,3252003,129033
2021-01-28,3540156,288153
2021-01-29,3970100,429944
2021-01-30,4457604,487504
2021-01-31,4909732,452128
2021-02-01,5281107,371375
2021-02-02,5544618,263511
2021-02-03,5677025,132407
2021-02-04,6015661,338636
2021-02-05,6472222,456561
2021-02-06,7007680,535458
2021-02-07,7763053,755373
2021-02-08,8535838,772785
2021-02-09,8865456,329618
2021-02-10,9195091,329635
2021-02-11,9782307,587216
2021-02-12,10449991,667684
2021-02-13,11299746,849755
2021-02-14,12229278,929532
2021-02-15,13155666,926388
2021-02-16,13606531,450865
2021-02-17,14057418,450887
2021-02-18,14495663,438245
2021-02-19,15119533,623870
2021-02-20,16765289,1645756
2021-02-21,17607146,841857
2021-02-22,18563678,956532
2021-02-23,19188028,624350
2021-02-24,19628570,440542
2021-02-25,20341317,712747
2021-02-26,21200859,859542
2021-02-27,22237394,1036535
2021-02-28,23310461,1073067
2021-03-01,24374544,1064083
2021-03-02,25057616,683072
2021-03-03,25751804,694188
2021-03-04,26536469,784665
2021-03-05,27354702,818233
2021-03-06,28252230,897528
2021-03-07,29313680,1061450
2021-03-08,30211187,897507
2021-03-09,31012426,801239
2021-03-10,31578243,565817
2021-03-11,32357983,779740
2021-03-12,33308259,950276
2021-03-13,34427286,1119027
2021-03-14,36320957,1893671
2021-03-15,36849154,528197
2021-03-16,37707717,858563
2021-03-17,38405365,697648
2021-03-18,39334825,929460
2021-03-19,40309977,975152
2021-03-20,41245396,935419
2021-03-21,42330486,1085090
2021-03-22,43418473,1087987
2021-03-23,44176997,758524
2021-03-24,44796007,619010
2021-03-25,45614161,818154
2021-03-26,46647475,1033314
2021-03-27,47895217,1247742
2021-03-28,49319118,1423901
2021-03-29,50747977,1428859
2021-03-30,51754986,1007009
2021-03-31,52557468,802482
2021-04-01,53719575,1162107
2021-04-02,55181012,1461437
2021-04-03,57047089,1866077
2021-04-04,58902844,1855755
2021-04-05,60453008,1550164
2021-04-06,61422945,969937
2021-04-07,62035890,612945
2021-04-08,63419456,1383566
2021-04-09,65178735,1759279
2021-04-10,67158210,1979475
2021-04-11,69617607,2459397
2021-04-12,71525283,1907676
2021-04-13,72934814,1409531
2021-04-14,74172465,1237651
2021-04-15,75503526,1331061
2021-04-16,77274464,1770938
2021-04-17,79357855,2083391
2021-04-18,81192650,1834795
2021-04-19,82958039,1765389
2021-04-20,84042952,1084913
2021-04-21,84888836,845884
2021-04-22,86232654,1343818
2021-04-23,87856410,1623756
2021-04-24,89758702,1902292
2021-04-25,91628619,1869917
2021-04-26,93295371,1666752
2021-04-27,95140767,1845396
2021-04-28,95992192,851425
2021-04-29,97279884,1287692
2021-04-30,98891214,1611330
2021-05-01,100617851,1726637
2021-05-02,102626402,2008551
2021-05-03,103965046,1338644
2021-05-04,104702777,737731
2021-05-05,105335927,633150
2021-05-06,106504295,1168368
2021-05-07,108081035,1576740
2021-05-08,110000343,1919308
2021-05-09,111735463,1735120
2021-05-10,113351054,1615591
2021-05-11,114614441,1263387
2021-05-12,115655448,1041007
2021-05-13,116717663,1062215
2021-05-14,118054377,1336714
2021-05-15,119315289,1260912
2021-05-16,120813074,1497785
2021-05-17,122031743,1218669
2021-05-18,122854257,822514
2021-05-19,123480021,625764
2021-05-20,124464244,984223
2021-05-21,125603086,1138842
2021-05-22,126764351,1161265
2021-05-23,127980384,1216033
2021-05-24,128974641,994257
2021-05-25,129569165,594524
2021-05-26,130026046,456881
2021-05-27,130788333,762287
2021-05-28,131699076,910743
2021-05-29,132451104,752028
2021-05-30,133329261,878157
2021-05-31,133993687,664426
2021-06-01,134382031,388344
2021-06-02,134770405,388374
2021-06-03,135055831,285426
2021-06-04,135537239,481408
2021-06-05,136339264,802025
2021-06-06,136988666,649402
2021-06-07,137842758,854092
2021-06-08,138612155,769397
2021-06-09,139300651,688496
2021-06-10,139831921,531270
2021-06-11,140429080,597159
2021-06-12,140940504,511424
2021-06-13,141956615,1016111
2021-06-14,142748368,791753
2021-06-15,143735275,986907
2021-06-16,144571209,835934
2021-06-17,145257006,685797
2021-06-18,146541651,1284645
2021-06-19,147233276,691625
2021-06-20,147888792,655516
2021-06-21,148426003,537211
2021-06-22,148799408,373405
2021-06-23,149175525,376117
2021-06-24,149532940,357415
2021-06-25,149989972,457032
2021-06-26,150343504,353532
2021-06-27,150905841,562337
2021-06-28,151747774,841933
2021-06-29,152482797,735023
2021-06-30,152902152,419355
2021-07-01,153581785,679633
2021-07-02,154575050,993265
2021-07-03,154940210,365160
2021-07-04,155661834,721624
2021-07-05,156000470,338636
2021-07-06,156155113,154643
2021-07-07,156309788,154675
2021-07-08,156579763,269975
2021-07-09,156955393,375630
2021-07-10,157292947,337554
2021-07-11,157615153,322206
2021-07-12,157923904,308751
2021-07-13,158153044,229140
2021-07-14,158326825,173781
2021-07-15,158774666,447841
2021-07-16,159053201,278535
2021-07-17,159322075,268874
2021-07-18,159625705,303630
2021-07-19,159861018,235313
2021-07-20,160099488,238470
2021-07-21,160267219,167731
2021-07-22,160525655,258436
2021-07-23,160800635,274980
2021-07-24,161057115,256480
2021-07-25,161344182,287067
2021-07-26,161639813,295631
2021-07-27,161785769,145956
2021-07-28,161924211,138442
2021-07-29,162197851,273640
2021-07-30,162470523,272672
2021-07-31,162782020,311497
2021-08-01,163039776,257756
2021-08-02,163347357,307581
2021-08-03,163506679,159322
2021-08-04,163667844,161165
2021-08-05,163915868,248024
2021-08-06,164215357,299489
2021-08-07,164492891,277534
2021-08-08,164774014,281123
2021-08-09,165045735,271721
2021-08-10,165220345,174610
2021-08-11,165425417,205072
2021-08-12,165664799,239382
2021-08-13,165910280,245481
2021-08-14,166251005,340725
2021-08-15,166638717,387712
2021-08-16,166907035,268318
2021-08-17,167230129,323094
2021-08-18,167434786,204657
2021-08-19,167719496,284710
2021-08-20,168121336,401840
2021-08-21,168523257,401921
2021-08-22,168925574,402317
2021-08-23,169337067,411493
2021-08-24,169600396,263329
2021-08-25,169876005,275609
2021-08-26,170276029,400024
2021-08-27,170668757,392728
2021-08-28,171139899,471142
2021-08-29,171589642,449743
2021-08-30,172001258,411616
2021-08-31,172309920,308662
2021-09-01,172595922,286002
2021-09-02,173069479,473557
2021-09-03,173438602,369123
2021-09-04,173996065,557463
2021-09-05,174417501,421436
2021-09-06,87208739,87208762
2021-09-07,131155185,43946446
2021-09-08,175101658,43946473
2021-09-09,175539447,437789
2021-09-10,175862986,323539
2021-09-11,176320524,457538
2021-09-12,176743441,422917
2021-09-13,177101887,358446
2021-09-14,177388349,286462
2021-09-15,177691844,303495
2021-09-16,178091398,399554
2021-09-17,178474677,383279
2021-09-18,178954803,480126
2021-09-19,179411802,456999
2021-09-20,179753577,341775
2021-09-21,180095694,342117
2021-09-22,180377618,281924
2021-09-23,180746061,368443
2021-09-24,180938759,192698
2021-09-25,181302999,364240
2021-09-26,181691341,388342
2021-09-27,182002667,311326
2021-09-28,182216974,214307
2021-09-29,183589604,1372630
2021-09-30,182651417,938187
2021-10-01,182909682,258265
2021-10-02,183154247,244565
2021-10-03,183444629,290382
2021-10-04,183792811,348182
2021-10-05,184087713,294902
2021-10-06,184358533,270820
2021-10-07,184684283,325750
2021-10-08,184914211,229928
2021-10-09,185211153,296942
2021-10-10,185507394,296241
2021-10-11,92753682,92753712
2021-10-12,139379414,46625732
2021-10-13,186005176,46625762
2021-10-14,186227187,222011
2021-10-15,186521204,294017
